dataset,,pi,charge,hydrophobic_ratio,hm
Basic,0.25,9.021484375,2.095,0.26666666666666666,0.16796296001681416
Basic,0.5,10.7421875,3.995,0.4,0.2739242554836188
Basic,0.75,12.1015625,5.994,0.5263157894736842,0.41038156855437147
HydrAMP,0.25,9.115234375,2.094,0.25,0.20045603597223055
HydrAMP,0.5,10.8828125,3.96,0.4,0.3226747131268529
HydrAMP,0.75,12.130859375,5.094,0.5294117647058824,0.47485415252320445
PepCVAE,0.25,9.671875,2.86,0.2631578947368421,0.17872863958447432
PepCVAE,0.5,10.98681640625,3.996,0.4,0.29483712100293175
PepCVAE,0.75,12.1015625,5.926,0.5416666666666666,0.44175076161652554
PepZOO,0.25,9.6904296875,2.995,0.30434782608695654,0.2039659946745212
PepZOO,0.5,10.98681640625,4.094,0.4444444444444444,0.32754782697350127
PepZOO,0.75,12.11572265625,5.995,0.5714285714285714,0.4768407830203215
Prototype,0.25,8.0810546875,1.891,0.2222222222222222,0.18864219200613205
Prototype,0.5,10.44140625,2.996,0.35,0.3181289776573766
Prototype,0.75,11.80126953125,4.095,0.5,0.4899367571307742
